x       y       id    rot    scale sx    sy    nt  class       AABB
1335.00  405.00   120    0.0  1.00  1.00  1.00  0  decor       -
1335.00  435.00   120    0.0  1.00  1.00  1.00  0  decor       -
1335.00  465.00   120    0.0  1.00  1.00  1.00  0  decor       -
1335.00  495.00   120    0.0  1.00  1.00  1.00  0  decor       -
1365.00   15.00   120    0.0  1.00  1.00  1.00  0  decor       -
1365.00   45.00   119   90.0  1.00  1.00  1.00  0  solid:0     30.00x30.00
1365.00   75.00   118   90.0  1.00  1.00  1.00  0  solid:0     30.00x30.00
1365.00  255.00   117    0.0  1.00  1.00  1.00  0  solid:0     30.00x30.00
1365.00  285.00   120    0.0  1.00  1.00  1.00  0  decor       -
1365.00  315.00   120    0.0  1.00  1.00  1.00  0  decor       -
1365.00  345.00   120    0.0  1.00  1.00  1.00  0  decor       -
1365.00  375.00   120    0.0  1.00  1.00  1.00  0  decor       -
1365.00  405.00   120    0.0  1.00  1.00  1.00  0  decor       -
1365.00  435.00   120    0.0  1.00  1.00  1.00  0  decor       -
1365.00  465.00   120    0.0  1.00  1.00  1.00  0  decor       -
1365.00  495.00   120    0.0  1.00  1.00  1.00  0  decor       -
1365.00  585.00    29    0.0  1.00  1.00  1.00  0  decor       -
1395.00   15.00   120    0.0  1.00  1.00  1.00  0  decor       -
1395.00   45.00   117    0.0  1.00  1.00  1.00  0  solid:0     30.00x30.00
1395.00  255.00   117    0.0  1.00  1.00  1.00  0  solid:0     30.00x30.00
1395.00  285.00   120    0.0  1.00  1.00  1.00  0  decor       -
1395.00  315.00   120    0.0  1.00  1.00  1.00  0  decor       -
1395.00  345.00   120    0.0  1.00  1.00  1.00  0  decor       -
1395.00  375.00   120    0.0  1.00  1.00  1.00  0  decor       -
1395.00  405.00   120    0.0  1.00  1.00  1.00  0  decor       -
1395.00  435.00   120    0.0  1.00  1.00  1.00  0  decor       -
1395.00  465.00   120    0.0  1.00  1.00  1.00  0  decor       -
1395.00  495.00   120    0.0  1.00  1.00  1.00  0  decor       -
1411.00   67.00    17    0.0  1.00  1.00  1.00  0  decor       -
1415.00  163.00    50    0.0  1.00  1.00  1.00  0  decor       -
1415.00  163.00    85    0.0  1.00  1.00  1.00  0  decor       -
1415.00  163.00    88    0.0  1.00  1.00  1.00  0  hazard:1    64.60x64.60
1415.00  222.50   106    0.0  1.00  1.00  1.00  0  decor       -
1425.00   15.00   117   90.0  1.00  1.00  1.00  0  solid:0     30.00x30.00
1425.00   45.00   118    0.0  1.00  1.00  1.00  0  solid:0     30.00x30.00
1425.00  255.00   117    0.0  1.00  1.00  1.00  0  solid:0     30.00x30.00
1425.00  285.00   120    0.0  1.00  1.00  1.00  0  decor       -
1425.00  315.00   120    0.0  1.00  1.00  1.00  0  decor       -
1425.00  345.00   120    0.0  1.00  1.00  1.00  0  decor       -
1425.00  375.00   120    0.0  1.00  1.00  1.00  0  decor       -
1425.00  405.00   120    0.0  1.00  1.00  1.00  0  decor       -
1425.00  435.00   120    0.0  1.00  1.00  1.00  0  decor       -
1425.00  465.00   120    0.0  1.00  1.00  1.00  0  decor       -
1425.00  495.00   120    0.0  1.00  1.00  1.00  0  decor       -
1455.00    4.00    61    0.0  1.00  1.00  1.00  0  hazard:0    9.00x7.20
1455.00   13.50   157    0.0  1.00  1.00  1.00  0  decor       -
1455.00  255.00   117    0.0  1.00  1.00  1.00  0  solid:0     30.00x30.00
1455.00  285.00   120    0.0  1.00  1.00  1.00  0  decor       -
1455.00  315.00   120    0.0  1.00  1.00  1.00  0  decor       -
1455.00  345.00   120    0.0  1.00  1.00  1.00  0  decor       -
1455.00  375.00   120    0.0  1.00  1.00  1.00  0  decor       -
1455.00  405.00   120    0.0  1.00  1.00  1.00  0  decor       -
1455.00  435.00   120    0.0  1.00  1.00  1.00  0  decor       -
1455.00  465.00   120    0.0  1.00  1.00  1.00  0  decor       -
1455.00  495.00   120    0.0  1.00  1.00  1.00  0  decor       -
1485.00    4.00    61    0.0  1.00  1.00  1.00  0  hazard:0    9.00x7.20
1485.00   13.50   157    0.0  1.00  1.00  1.00  0  decor       -
1485.00  105.00   152  270.0  1.00  1.00  1.00  0  decor       -
1485.00  255.00   117    0.0  1.00  1.00  1.00  0  solid:0     30.00x30.00
1485.00  285.00   120    0.0  1.00  1.00  1.00  0  decor       -
1485.00  315.00   120    0.0  1.00  1.00  1.00  0  decor       -
1485.00  345.00   120    0.0  1.00  1.00  1.00  0  decor       -
1485.00  375.00   120    0.0  1.00  1.00  1.00  0  decor       -
1485.00  405.00   120    0.0  1.00  1.00  1.00  0  decor       -
1485.00  435.00   120    0.0  1.00  1.00  1.00  0  decor       -
1485.00  465.00   120    0.0  1.00  1.00  1.00  0  decor       -
1485.00  495.00   120    0.0  1.00  1.00  1.00  0  decor       -
1515.00    4.00    61    0.0  1.00  1.00  1.00  0  hazard:0    9.00x7.20
1515.00   13.50   157    0.0  1.00  1.00  1.00  0  decor       -
1515.00   75.00   152  180.0  1.00  1.00  1.00  0  decor       -
1515.00  105.00   116    0.0  1.00  1.00  1.00  0  solid:0     30.00x30.00
1515.00  121.00   138    0.0  1.00  1.00  1.00  0  decor       -
1515.00  123.00    67    0.0  1.00  1.00  1.00  0  pad:3       25.00x6.00
1515.00  173.00   132   90.0  1.00  1.00  1.00  0  decor       -
1515.00  255.00   117    0.0  1.00  1.00  1.00  0  solid:0     30.00x30.00
1515.00  285.00   120    0.0  1.00  1.00  1.00  0  decor       -
1515.00  315.00   120    0.0  1.00  1.00  1.00  0  decor       -
1515.00  345.00   120    0.0  1.00  1.00  1.00  0  decor       -
1515.00  375.00   120    0.0  1.00  1.00  1.00  0  decor       -
1515.00  405.00   120    0.0  1.00  1.00  1.00  0  decor       -
1515.00  435.00   120    0.0  1.00  1.00  1.00  0  decor       -
1515.00  465.00   120    0.0  1.00  1.00  1.00  0  decor       -
1515.00  495.00   120    0.0  1.00  1.00  1.00  0  decor       -
1529.00    1.00    86    0.0  1.00  1.00  1.00  0  decor       -
1529.00    1.00    89    0.0  1.00  1.00  1.00  0  hazard:1    43.20x43.20
1545.00    4.00    61    0.0  1.00  1.00  1.00  0  hazard:0    9.00x7.20
1545.00   13.50   157    0.0  1.00  1.00  1.00  0  decor       -
1545.00  105.00   152   90.0  1.00  1.00  1.00  0  decor       -
1545.00  225.00   118    0.0  1.00  1.00  1.00  0  solid:0     30.00x30.00
1545.00  255.00   119  -90.0  1.00  1.00  1.00  0  solid:0     30.00x30.00
1545.00  285.00   120    0.0  1.00  1.00  1.00  0  decor       -
1545.00  315.00   120    0.0  1.00  1.00  1.00  0  decor       -
1545.00  345.00   120    0.0  1.00  1.00  1.00  0  decor       -
1545.00  375.00   120    0.0  1.00  1.00  1.00  0  decor       -
1545.00  405.00   120    0.0  1.00  1.00  1.00  0  decor       -
1545.00  435.00   120    0.0  1.00  1.00  1.00  0  decor       -
1545.00  465.00   120    0.0  1.00  1.00  1.00  0  decor       -
1545.00  495.00   120    0.0  1.00  1.00  1.00  0  decor       -

IDs in region:
  120: 114
  117: 28
  157: 7
  61: 7
  118: 7
  50: 5
  41: 4
  119: 4
  85: 3
  88: 3
  29: 3
  152: 3
  89: 2
  86: 2
  191: 2
  154: 1
  141: 1
  27: 1
  16: 1
  151: 1
  8: 1
  103: 1
  17: 1
  106: 1
  67: 1
  116: 1
  138: 1
  132: 1
